Altium Designer Pick and Place Locations,,,,,,,
C:\Users\Public\Documents\Altium\ESP32 With USB C 3rd JLPCB\Project Outputs for ESP32 With USB C 3rd JLPCB\Pick Place\Pick Place for ESP32 With USB C 3rd PCB V1I1(Prototype).csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       03/09/25,,,,,,,
Time:       11:37,,,,,,,
Revision:   Not in VersionControl,,,,,,,
Variant:    Prototype,,,,,,,
Units used: mil,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
U3,TL1963A-33DCYR,TopLayer,DCY0004A_N,780,290,0,IC REG LIN 3.3V 1.5A SOT-223-4
U2,FT231XQ-R,TopLayer,FP-QFN-20-IPC_B,710,770,270,IC USB SERIAL FULL UART 20QFN
U1,ESP32-S3-MINI-1-N8,TopLayer,XCVR_ESP32-S3-MINI-1-N8,2395.039,500,270,"SMD Module, ESP32-S3FN8, 8 mb Sp"
SW2,PTS645SH50SMTR92LFS,TopLayer,FP-PTS645SH50SMTR92LFS-MFG,1400,750,180,SWITCH TACTILE SPST-NO 0.05A 12V
SW1,PTS645SH50SMTR92LFS,TopLayer,FP-PTS645SH50SMTR92LFS-MFG,1400,250,180,SWITCH TACTILE SPST-NO 0.05A 12V
R24,0R,TopLayer,RESC1005X37N,1935.984,448,0,RES 0 OHM JUMPER 1/16W 0402
R23,0R,TopLayer,RESC1005X37N,1935.984,518,0,RES 0 OHM JUMPER 1/16W 0402
R22,10K,TopLayer,RESC1005X37N,1650,290,90,RES 10 KOHM 1% 1/8W 0402
R21,27R,TopLayer,RESC1005X37N,1970,790,0,RES 27 OHM 1% 1/16W 0402
R20,27R,TopLayer,RESC1005X37N,1970,840,0,RES 27 OHM 1% 1/16W 0402
R19,0R,TopLayer,RESC1005X37N,2135,145,180,RES 0 OHM JUMPER 1/16W 0402
R18,0R,TopLayer,RESC1005X37N,2035,145,180,RES 0 OHM JUMPER 1/16W 0402
R17,10K,TopLayer,RESC1005X37N,1010,830,90,RES 10 KOHM 1% 1/8W 0402
R16,10K,TopLayer,RESC1005X37N,1010,650,270,RES 10 KOHM 1% 1/8W 0402
R15,5K1,TopLayer,RESC1005X37N,410,250,90,RES SMD 5.1K OHM 1% 1/16W 0402
R14,5K1,TopLayer,RESC1005X37N,410,150,270,RES SMD 5.1K OHM 1% 1/16W 0402
R13,10K,TopLayer,RESC1005X37N,890,610,180,RES 10 KOHM 1% 1/8W 0402
R12,5K1,TopLayer,RESC1005X37N,410,830,90,RES SMD 5.1K OHM 1% 1/16W 0402
R11,5K1,TopLayer,RESC1005X37N,410,730,270,RES SMD 5.1K OHM 1% 1/16W 0402
R10,4K7,TopLayer,RESC1005X37N,890,660,180,RES 4.7K OHM 1% 1/16W 0402
R8,0R,TopLayer,RESC1005X37N,600,590,90,RES 0 OHM JUMPER 1/16W 0402
R7,27R,TopLayer,RESC1005X37N,530,785,0,RES 27 OHM 1% 1/16W 0402
R6,27R,TopLayer,RESC1005X37N,530,735,0,RES 27 OHM 1% 1/16W 0402
R4,1K,TopLayer,RESC1005X37N,1790,800,270,RES 1K OHM 1% 1/16W 0402
R3,1K,TopLayer,RESC1005X37N,1790,200,90,RES 1K OHM 1% 1/16W 0402
R1,0R,TopLayer,RESC1005X37N,705.984,510,0,RES 0 OHM JUMPER 1/16W 0402
Q2,SS8050-G,TopLayer,FP-SS8050-G-IPC_B,1120,810,0,TRANS NPN 25V 1.5A SOT-23-3
Q1,SS8050-G,TopLayer,FP-SS8050-G-IPC_B,1120,670,0,TRANS NPN 25V 1.5A SOT-23-3
J6,FTS-102-01-F-S,TopLayer,HDR_1*2_1.27MM,1400,500,90,CONN HEADER VERT 2POS 1.27MM
J5,FTS-103-01-F-S,TopLayer,HDR_1*3_1.27MM,375,500,0,CONN HEADER VERT 3POS 1.27MM
J4,217179-0001,TopLayer,FP-2171790001-MFG,157.579,220.079,270,CONN RCP USB2.0 TYP C 24P SMD RA
J3,217179-0001,TopLayer,FP-2171790001-MFG,157.579,779.921,270,CONN RCP USB2.0 TYP C 24P SMD RA
J2,22-28-4245,BottomLayer,HDR_1*24_2.54MM,1500,50,90,CONN HEADER VERT 24POS 2.54MM
J1,22-28-4245,BottomLayer,HDR_1*24_2.54MM,1500,950,90,CONN HEADER VERT 24POS 2.54MM
D8,AQ3045-01ETG,TopLayer,SOD882,335,167.205,270,TVS DIODE 5.3VWM 12VC SOD882
D7,AQ3045-01ETG,TopLayer,SOD882,335,232.795,90,TVS DIODE 5.3VWM 12VC SOD882
D6,AQ3045-01ETG,TopLayer,SOD882,340,370,180,TVS DIODE 5.3VWM 12VC SOD882
D5,AQ3045-01ETG,TopLayer,SOD882,335,730,270,TVS DIODE 5.3VWM 12VC SOD882
D4,AQ3045-01ETG,TopLayer,SOD882,335,810,90,TVS DIODE 5.3VWM 12VC SOD882
